SystemSize,EntanglementEntropy
10,1.6075847683060318
18,1.7521856004454084
26,1.843614083260891
34,1.9084846350319693
42,1.9575013366773708
50,1.9959276623651838
58,2.026745375716384
66,2.051795493146265
74,2.0721484615351407
