SystemSize,EntanglementEntropy
4,0.8383606734491186
8,1.1433980595490598
12,1.303542383597839
16,1.4020802658601423
20,1.4638328077587424
24,1.5012163074540972
28,1.5228398547257878
32,1.5348718663783696
36,1.5413815742161063
40,1.5448292649518338
44,1.546502978191595
48,1.5470486483064605
