SystemSize,GroundStateEnergy,ExcitedStateEnergy_1,ExcitedStateEnergy_2,ExcitedStateEnergy_3,ExcitedStateEnergy_4
2.0,-1.9999999999999996,-1.0,-0.9999999999999998,-0.9999999999999716,0.9999999999996869
6.0,-7.370274969424607,-7.062489410202532,-7.062489410308425,-7.06248941077255,-6.018533397445036
10.0,-12.894559614403724,-12.75622913776588,-12.756228994305818,-12.756228733741057,-11.99072455940264
14.0,-18.459842978417903,-18.39068707896456,-18.390684535330838,-18.390680003965112,-17.75186031261671
18.0,-24.04383592060912,-24.00815092116279,-24.00810761534776,-24.008149522797076,-23.438845472527742
22.0,-29.637779669017114,-29.619299185731574,-29.619299075200377,-29.61917853717566,-29.09241305633497
26.0,-35.237206692734915,-35.2277382565226,-35.2277307947295,-35.22758401955184,-34.72863242289075
30.0,-40.839629812709966,-40.83491653312724,-40.83491169876036,-40.83466135002608,-40.35494799271845
34.0,-46.443676022818686,-46.441490138208785,-46.44148481074814,-46.44112648909243,-45.975210010328425
38.0,-52.048640289882904,-52.047791561715705,-52.0477451852437,-52.047549382021906,-51.591572596805776
42.0,-57.654208720285105,-57.65402518201226,-57.653885666981935,-57.65377480223211,-57.205316978169265
46.0,-63.26003056811353,-63.260024120203795,-63.25985385726762,-63.25985733647213,-62.81724045232093
50.0,-68.86592239928676,-68.8659153603973,-68.8658400674606,-68.42786244751603,-68.86583169816537
54.0,-74.47183436945546,-74.47181929338635,-74.4718075309212,-74.03752839133797,-74.47179126207553
